  Query ID    AP @ 10     AP @ 20    NDGC @ 10    NDGC @ 20
----------  ---------  ----------  -----------  -----------
       126  0.468532   0.456535       0.711306     0.723163
       127  0.325635   0.296572       0.561683     0.561683
       128  0.40246    0.268107       0.877215     0.877215
       129  0.659206   0.710805       0.635591     0.660483
       130  0.194127   0.163941       0.501266     0.501266
       131  0.421032   0.520852       0.550046     0.61906
       132  0.0645635  0.0657203      0.356207     0.356207
       133  0.342024   0.401806       0.644784     0.669241
       134  0.01       0.0384386      0.289065     0.289065
       135  0          0              0            0
       136  0.265357   0.335107       0.5249       0.569853
       137  0.350794   0.300931       0.532696     0.508308
       138  0          0.00790936     0            0.235409
       139  0.651865   0.551636       0.666371     0.610717
       140  0.0336111  0.0642197      0.315465     0.289021
       141  0.0211111  0.0439941      0.30103      0.30103
       142  0.558254   0.474479       0.840644     0.815948
       143  0.539921   0.51596        0.660011     0.666748
       144  0.348968   0.341677       0.62787      0.62787
       145  0.0856746  0.130595       0.402983     0.428543
       146  0          0              0            0
       147  0          0.0566113      0            0.383867
       148  0.657976   0.665858       0.843772     0.82821
       149  0.139286   0.233987       0.47085      0.549564
       150  0.190794   0.183154       0.510956     0.511181
       151  0.369405   0.287518       0.619194     0.612497
       152  0.38746    0.3664         0.825106     0.7414
       153  0.21746    0.245848       0.537452     0.559926
       154  0          0              0            0
       155  0.178571   0.259842       0.499801     0.528072
       156  0.292897   0.179887       1            1
       157  0.292897   0.193863       1            0.763154
       158  0.0945635  0.131468       0.414437     0.345181
       159  0.384921   0.331346       0.569683     0.571453
       160  0          0              0            0
       161  0.20746    0.227065       0.524981     0.423213
       162  0.792381   0.654398       0.86508      0.823664
       163  0.374405   0.356399       0.883287     0.741143
       164  0.504206   0.51569        0.684016     0.706465
       165  0.142897   0.104887       0.5          0.5
       166  0          0.0288931      0            0.270238
       167  0.914325   0.839547       0.789571     0.789722
       168  0.679921   0.58238        0.95583      0.872441
       169  0          0              0            0
       170  0.192897   0.129887       0.63093      0.63093
       171  0          0              0            0
       172  0.102619   0.159535       0.445734     0.462693
       173  0          0              0            0
       174  0          0.0108505      0            0.239812
       175  0.405357   0.360399       0.570382     0.546355

Mean Average Precision @ 10 = 0.26531666666666665
Mean Average Precision @ 20 = 0.25589997455674696
Average Normalized Discounted Cumulative Gain @ 10 = 0.4828038689368393
Average Normalized Discounted Cumulative Gain @ 20 = 0.4942402752708624
