  Query ID    AP @ 10     AP @ 20    NDGC @ 10    NDGC @ 20
----------  ---------  ----------  -----------  -----------
       126  0.468532   0.456535       0.711306     0.723163
       127  0.350635   0.309072       0.569208     0.569208
       128  0.40246    0.268107       0.877215     0.877215
       129  0.659206   0.710805       0.635591     0.660483
       130  0.194127   0.163941       0.501266     0.501266
       131  0.421032   0.523484       0.550046     0.619959
       132  0.0645635  0.0657203      0.356207     0.356207
       133  0.342024   0.401806       0.644784     0.669241
       134  0.01       0.0384386      0.289065     0.289065
       135  0          0              0            0
       136  0.237738   0.326151       0.491381     0.544667
       137  0.350794   0.300931       0.532696     0.508308
       138  0          0.0139755      0            0.244651
       139  0.651865   0.551636       0.666371     0.610717
       140  0.0336111  0.0642197      0.315465     0.289021
       141  0.0211111  0.0439941      0.30103      0.30103
       142  0.558254   0.474479       0.840644     0.815948
       143  0.539921   0.512835       0.660011     0.66618
       144  0.348968   0.341677       0.62787      0.62787
       145  0.0856746  0.130595       0.402983     0.428543
       146  0          0              0            0
       147  0          0.0566113      0            0.383867
       148  0.657976   0.665858       0.843772     0.82821
       149  0.139286   0.233987       0.47085      0.549564
       150  0.176508   0.176011       0.5          0.502796
       151  0.369405   0.29015        0.619194     0.613134
       152  0.38746    0.362301       0.825106     0.737581
       153  0.26746    0.266682       0.598894     0.601758
       154  0          0              0            0
       155  0.153571   0.247342       0.479235     0.512473
       156  0.292897   0.179887       1            1
       157  0.292897   0.193863       1            0.763154
       158  0.105675   0.151445       0.421773     0.371704
       159  0.370635   0.319072       0.560478     0.560478
       160  0          0              0            0
       161  0.20746    0.223493       0.524981     0.422009
       162  0.792381   0.654398       0.86508      0.823664
       163  0.487024   0.411423       0.924133     0.866231
       164  0.504206   0.519023       0.684016     0.707619
       165  0.142897   0.104887       0.5          0.5
       166  0          0.0288931      0            0.270238
       167  0.86754    0.814007       0.774583     0.77939
       168  0.679921   0.569822       0.95583      0.867382
       169  0          0              0            0
       170  0.192897   0.129887       0.63093      0.63093
       171  0          0              0            0
       172  0.164286   0.193309       0.491415     0.502413
       173  0          0              0            0
       174  0          0.00513158     0            0.231378
       175  0.405357   0.34753        0.570382     0.535499

Mean Average Precision @ 10 = 0.2679650793650793
Mean Average Precision @ 20 = 0.25686830704125596
Average Normalized Discounted Cumulative Gain @ 10 = 0.4842758216686254
Average Normalized Discounted Cumulative Gain @ 20 = 0.49728432947610196
